,Tweets
10,"b""RT @hirotoy17: I've updated my new book, which is about a workshop on using Keynote to create clotted patterns.\n#AppleEDUchat\n#EveryoneCanC\xe2\x80\xa6"""
11,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
12,b'RT @drmcgettigan: How courses like #coding and design lead to tech literacy #edtech #edtechchat #appleeduchat  https://t.co/XHsmmVkbFG'
13,b'RT @klbeasley: Explore with #MediaMentorMonth\n\n\xf0\x9f\x93\xb2 Pick out a new app from the app store to explore with your child.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities avail\xe2\x80\xa6'
14,b'How courses like #coding and design lead to tech literacy #edtech #edtechchat #appleeduchat  https://t.co/XHsmmVkbFG'
15,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
16,b'@JacobWoolcock Hey Jacob! Thanks so much for your sunrise/sunset tutorial. Used it for a lesson today! You have AGAIN touched the lives of Austrian students. #appleeduchat #ade2021 #MagicMove #Keynote https://t.co/bmSwc77ZZw'
17,b'RT @MrTullock: Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge\xe2\x80\xa6'
18,b'RT @MrTullock: Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge\xe2\x80\xa6'
19,b'RT @meesterkurt: Creating an Augmented Reality Experience with @ScavengarEDU about incredible women\xf0\x9f\x91\xa9\xf0\x9f\xa7\x95\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\xa6\xb3 who inspire us to unlock\xf0\x9f\x94\x93 new leve\xe2\x80\xa6'
20,b'RT @MrTullock: Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge\xe2\x80\xa6'
21,b'RT @MrTullock: Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge\xe2\x80\xa6'
22,b'RT @MrTullock: Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge\xe2\x80\xa6'
23,b'Loving exploring the opportunities with @ScavengarEDU with @meesterkurt as part of #eccsummit2021 by @ThinkAheadZA such huge potential to immerse pupils in learning with original &amp; bespoke content. Can\xe2\x80\x99t wait to explore further #AppleEDUchat https://t.co/GBufmjYAds'
24,"b'#ibookauthor HELP ! I get this error when I try to save  ""incorrect file descriptor"" and I don\'t know where it comes from. I dont find the info on the web \xf0\x9f\xa5\xba ! Any idea por faaaaa ? @lancslassrach @Mattbaier1234 @ICTEvangelist @mat6453 @MsLuss @AppleEDU  #ADEchat #AppleEDUchat https://t.co/2gRwUZX7ou'"
25,b'RT @mrjones_EDU: Interesting research paper from Jan 2021:\n\n\xe2\x80\x98It is no longer scary\xe2\x80\x99: digital learning before and during the Covid-19 pandem\xe2\x80\xa6'
26,"b'RT @_ehughes_: Seriously, what would we do without #Keynote? \nMy animated #Geography videos made 3 yrs ago have been invaluable during #Rem\xe2\x80\xa6'"
27,b'RT @MrTullock: Great to be listening to @MattWarne talking about the importance of coding during a pandemic as part of @ThinkAheadZA confer\xe2\x80\xa6'
28,"b'@MattWarne @ThinkAheadZA I\xe2\x80\x99m very excited about them all. Thought yours was exceptional mate. The passion for your pupils and subject is unreal, but more importantly what you have achieved... WOW! Feeling inspired #AppleEDUchat https://t.co/aEDNpZaEZG'"
29,b'RT @MiaLMorrison: Enjoyed sharing the power of storytelling with @TTrzebiatowski @eh48 #inspired #raiseyourvoice ARCHIVE https://t.co/h6QvY\xe2\x80\xa6'
30,b'Great to be listening to @MattWarne talking about the importance of coding during a pandemic as part of @ThinkAheadZA conference. Absolutely agree how important coding is an all aspects of learning #AppleEDUchat https://t.co/V9hpjAFt5J'
31,"b'Seriously, what would we do without #Keynote? \nMy animated #Geography videos made 3 yrs ago have been invaluable during #RemoteLearning \xf0\x9f\x8c\x8d \nLike this one we used today: \nhttps://t.co/ASEDNfQ0uM \nThanks @welshofer &amp; the whole team for all you do! \n#AppleEDUchat #EveryoneCanCreate'"
32,"b'#AppleEDUchat\nA third year junior high school student drew his thoughts on the wall that divides the classroom at the graduation event.  As a result of drawing without a plan, beautiful cherry blossoms have bloomed!  The creativity of junior high school students is amazing! https://t.co/3F5KM3EYWw'"
33,"b""I've updated my new book, which is about a workshop on using Keynote to create clotted patterns.\n#AppleEDUchat\n#EveryoneCanCreate\n#ADE\n\nhttps://t.co/AMLkJKfbco"""
34,b'RT @JasonM_2: Such an important message! #aussieED #PrimarySTEMchat #appleEDUchat https://t.co/nL7EAFe5vo'
35,b'RT @MiaLMorrison: Enjoyed sharing the power of storytelling with @TTrzebiatowski @eh48 #inspired #raiseyourvoice ARCHIVE https://t.co/h6QvY\xe2\x80\xa6'
36,b'RT @meesterkurt: Calling all Apple Distinguished Educators. \n\nThe #ADEPlayground is coming virtually to @mlc_nemcc #MLC13\n  \nSign up and cr\xe2\x80\xa6'
37,b'Find out about different approaches Further Education providers took to delivering remote and blended learning during the coronavirus (COVID-19) pandemic - https://t.co/dCWNcytztf\n\n#AppleEduChat #EdTech #EdChat #UkEdChat'
38,b'RT @mrjones_EDU: Interesting research paper from Jan 2021:\n\n\xe2\x80\x98It is no longer scary\xe2\x80\x99: digital learning before and during the Covid-19 pandem\xe2\x80\xa6'
39,b'Interesting research paper from Jan 2021:\n\n\xe2\x80\x98It is no longer scary\xe2\x80\x99: digital learning before and during the Covid-19 pandemic in Irish secondary schools -\n https://t.co/lJSDxNDs3B #AppleEduChat #EdTech #UkEdChat'
40,b'RT @mat6453: Great day with @WATReach @Bowiejcecc Looking at supporting learners with technology enhanced learning.  Great ideas and curric\xe2\x80\xa6'
41,b'RT @mrpielee: \xe2\x80\x9cAnimate an object with something that makes you feel happy\xe2\x80\x9d. This definitely made me smile today #AppleEDUchat #keynote http\xe2\x80\xa6'
42,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
43,b'Certificates made on @canva and house colour badges delivered from @SchoolBadgesUK. Student digital leader presentation on Sunday \xf0\x9f\x8e\x89 @ArcadiaSch #AppleDistinguishedSchool #ADE #ADEUAE #EDUTech #AppleEDUchat https://t.co/svfPmRPrWl'
44,"b'RT @_ehughes_: Can every day of #RemoteLearning be like this? \xf0\x9f\x92\xab\xf0\x9f\x98\x8a \n\nYesterday, I led a 2 hour workshop w/ 75 of our 4th Year Ss on creating\xe2\x80\xa6'"
45,"b'RT @LLacrosse: Using social media to share our stories of science in @lacrossescience can showcase how we are still enjoying learning, expl\xe2\x80\xa6'"
46,b'@librarylew @AppleEDU @ITSCCSD Always so much fun teaching K students how to use #AppleClips App! #AppleEDUchat'
47,b'Has anyone put their students through #appleteacher or a similar process? Looking at a way of up-skilling students and providing professional development and acknowledgement. @AppleEDU #appleteacher #ade2019 #everyonecancreate #Appleeduchat @AppleEdu @rdwilliams2'
48,b'RT @seanmarnold: @TTrzebiatowski A3: Stories are powerful and can sway opinions for good or bad. So it\xe2\x80\x99s important to learn how to discern\xe2\x80\xa6'
49,"b'RT @techteachertom1: Our Yr 6 @ArcadiaSch students learning about the circulatory system. Using @DoInkTweets and cheap green t-shirts, they have created videos explaining how blood travels around the body. #EdTechUAE #AppleEDUchat #AppleDistinguishedSchool https://t.co/Zz3b2G9154'"
50,b'RT @956Christine: A2: This picture tells the story of how professional learning and connection persevered even with a pandemic. Our #risdai\xe2\x80\xa6'
51,b'RT @jdeinhammer: @TTrzebiatowski A4: So excited to see what my kids come up with for the @redfordcenter Environmental Justice Storytelling\xe2\x80\xa6'
52,b'RT @meesterkurt: Calling all Apple Distinguished Educators. \n\nThe #ADEPlayground is coming virtually to @mlc_nemcc #MLC13\n  \nSign up and cr\xe2\x80\xa6'
53,b'Connect with #MediaMentorMonth!\n\n\xf0\x9f\x98\x84 \xf0\x9f\x97\xa3 Have a conversation with your child using only emojis\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities available at https://t.co/trVuN01cqN\n\n#AppleEDUchat #GoogleEI #MIEExpert #digcit #isedcoach #edtech @chamada @watnunu #pypchat https://t.co/hGNZO4i6Y6'
54,b'RT @meesterkurt: Calling all Apple Distinguished Educators. \n\nThe #ADEPlayground is coming virtually to @mlc_nemcc #MLC13\n  \nSign up and cr\xe2\x80\xa6'
55,b'RT @MirCWalsh: A4. Lots of wonderful leaders. The female #ADE2021 community are always inspiring and we have so many wonderful project grou\xe2\x80\xa6'
56,b'Enjoyed sharing the power of storytelling with @TTrzebiatowski @eh48 #inspired #raiseyourvoice ARCHIVE https://t.co/h6QvYv9Vdh Join #AppleEDUchat next week when @KammasKersch @ChrisBarnabei lead discussion around DESIGN THINKING Preview Qs on #AppleTeacher https://t.co/CRheOvxVrE https://t.co/qPiMt5WGaO'
57,"b'It has been incredible watching Ss engage in integrative learning &amp; explore passions. Ss are engaged in the work, collaborate w/ peers, &amp; use creative and innovative strategies to prove their learning. It\xe2\x80\x99s become one of our favorite times during the week!\n\n#appleEDUchat #MBProud'"
58,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
59,b'RT @licit_tech: Apple partners with Common Sense Media to provide kid podcasts https://t.co/0JMdDI7vRg @AppleNews #Apple #AppleEDUchat #App\xe2\x80\xa6'
60,b'RT @DoInkTweets: RT @techteachertom1: Our Yr 6 @ArcadiaSch students learning about the circulatory system. Using @DoInkTweets and cheap gre\xe2\x80\xa6'
61,b'RT @mrpielee: \xe2\x80\x9cAnimate an object with something that makes you feel happy\xe2\x80\x9d. This definitely made me smile today #AppleEDUchat #keynote http\xe2\x80\xa6'
62,b'RT @licit_tech: Apple partners with Common Sense Media to provide kid podcasts https://t.co/0JMdDI7vRg @AppleNews #Apple #AppleEDUchat #App\xe2\x80\xa6'
63,b'Apple partners with Common Sense Media to provide kid podcasts https://t.co/0JMdDI7vRg @AppleNews #Apple #AppleEDUchat #AppleEvent #AppleWatch #AppleMusic #appleinternal #CommonSense #podcast #podcaster #podcastshow #CyberSecurity #cybersecurite #cybersec #US #uk #RwOT #India'
64,"b'RT @mat6453: When you get asked for advise from a student about a lesson idea, and then get inspired to create something yourself.  This on\xe2\x80\xa6'"
65,"b'RT @_ehughes_: Can every day of #RemoteLearning be like this? \xf0\x9f\x92\xab\xf0\x9f\x98\x8a \n\nYesterday, I led a 2 hour workshop w/ 75 of our 4th Year Ss on creating\xe2\x80\xa6'"
66,b'RT @meesterkurt: Calling all Apple Distinguished Educators. \n\nThe #ADEPlayground is coming virtually to @mlc_nemcc #MLC13\n  \nSign up and cr\xe2\x80\xa6'
67,"b'Great day with @WATReach @Bowiejcecc Looking at supporting learners with technology enhanced learning.  Great ideas and curriculum design, then a twilight whole staff session introducing AR in the classroom #AppleEDUchat @W00dlandAcademy https://t.co/Tlh1YUdYDd'"
68,"b'@chriswoodteach @AppleEDU Thanks, Chris! \xf0\x9f\x98\x8a\nFor about 90% of the students, this was their first time ever making music with #GarageBand - or making their own music music at all! \nReally impressed by some of the examples &amp; what they created! \xf0\x9f\x8c\x9f #AppleEDUchat #EveryoneCanCreate #1564Challenge'"
69,"b'Calling all Apple Distinguished Educators. \n\nThe #ADEPlayground is coming virtually to @mlc_nemcc #MLC13\n  \nSign up and create an unforgettable learning experience on Wednesday, June 23rd from 11:00am to 12:30pm EST \n\nCheck the community for the link.\n\n#AppleTeacher #AppleEDUchat https://t.co/hZIXBZVVsM'"
70,"b'RT @_ehughes_: Can every day of #RemoteLearning be like this? \xf0\x9f\x92\xab\xf0\x9f\x98\x8a \n\nYesterday, I led a 2 hour workshop w/ 75 of our 4th Year Ss on creating\xe2\x80\xa6'"
71,b'RT @Gowriggle: Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark an\xe2\x80\xa6'
72,b'RT @Gowriggle: Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark an\xe2\x80\xa6'
73,b'RT @Gowriggle: Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark an\xe2\x80\xa6'
74,"b'RT @joyfulDuplisea: A5: You see the glass half empty.  I see it half full.  Either way, the glass is refillable! \xf0\x9f\x92\xab#AppleEDUchat'"
75,b'RT @Gowriggle: Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark an\xe2\x80\xa6'
76,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
77,b'RT @mrpielee: \xe2\x80\x9cAnimate an object with something that makes you feel happy\xe2\x80\x9d. This definitely made me smile today #AppleEDUchat #keynote http\xe2\x80\xa6'
78,b'RT @Gowriggle: Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark an\xe2\x80\xa6'
79,"b'Bring a senior leader, digital lead or anyone who will benefit from having a fruitful discussion on the creativity journey teaching &amp; learning can take #AppleEDUChat #DigiLearnScot #edtech #AppleTeacher #EveryoneCanCreate @AppleEDU https://t.co/q2Khk4w263'"
80,"b'Feeling inspired after listening to stories of how #ipad has positively impacted teaching and learning in @Sandym0untPark and @MalahideCS with @JeanWardj, Paula Mulhall and several other brilliant school leaders.\n\n#edtech #edchatie #edshareie #appleEduchat https://t.co/XZGdwMdqVa'"
81,b'RT @MiaLMorrison: Join #AppleEDUchat next week when @KammasKersch and @ChrisBarnabei lead discussion around DESIGN THINKING Preview the Qs\xe2\x80\xa6'
82,b'@BenHaydenEDU I know the feeling. You\xe2\x80\x99ve kind of spurred me on. Been meaning to do some of them. So I\xe2\x80\x99ve started some of the 2021 noses. Might be a nice compliment to yours. #AppleEDUChat https://t.co/ZGUzCNoJx7'
83,b'RT @BenHaydenEDU: In preparation for #RedNoseDay 2021 \xf0\x9f\x94\xb4I have created some assets in Keynote ready for school photo overlays - including a\xe2\x80\xa6'
84,b'RT @956Christine: A6: I hope we can move forward with more intention to amplify the stories of marginalized communities. Through dig. story\xe2\x80\xa6'
85,"b'RT @JamfSoftware: Jenny Dunne, Executive Director of Learning at New Bridge MAT, will join Jamf at the #EdTechX spotlight session on 18 Mar\xe2\x80\xa6'"
86,b'RT @mrpielee: \xe2\x80\x9cAnimate an object with something that makes you feel happy\xe2\x80\x9d. This definitely made me smile today #AppleEDUchat #keynote http\xe2\x80\xa6'
87,b'RT @Veescope: Hilarious #greenscreen student video shot with the @veescope live app.  Clever use of backgrounds to tell the story. #pandemi\xe2\x80\xa6'
88,b'\xe2\x80\x9cAnimate an object with something that makes you feel happy\xe2\x80\x9d. This definitely made me smile today #AppleEDUchat #keynote https://t.co/QdI7g8lgCG'
89,"b'\xf0\x9f\x8e\xa5In spite of social distancing, @Studio3EPiC collaborated to create and produce a documentary sharing what they learned about MO history. All on #iPad: #iMovie, camera \xf0\x9f\xa7\xa1, Keynote, Garage Band, Chroma Key. #appleeduchat @AppleEDU #lpsepic #lpsleads\n\n\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/vAUNxBdr3c'"
90,b'Hilarious #greenscreen student video shot with the @veescope live app.  Clever use of backgrounds to tell the story. #pandemicStyle #covid19 #internationalWomensDay #iphone #ipad #AppleEDUChat #edtech #ipaded #education #distanceLearning #remotelearning https://t.co/qRqVKKPhG6 https://t.co/t9RRJLDkRK'
91,b'RT @klbeasley: Explore with #MediaMentorMonth\n\n\xf0\x9f\x93\xb2 Pick out a new app from the app store to explore with your child.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities avail\xe2\x80\xa6'
92,b'RT @mcoutts81: A4 I\xe2\x80\x99ve always found magic move in Keynote to be a very accessible way for students of all ages to tell compelling stories.\xe2\x80\xa6'
93,b'RT @shmaynor: Wisdom from the fabulous @PearlSBuckIntl - Have you discovered your creative instinct? What will you create today? #AppleEDUc\xe2\x80\xa6'
94,b'RT @techclassrocks: Day 69:  Mind Blown (again) \xf0\x9f\xa4\xaf\n\nYesterday @chriswoodteach taught me how to customize the Drummer by converting to MIDI r\xe2\x80\xa6'
95,b'RT @NikoleBlanch19: Join @DunhamSchoolBR this Thursday for a lively conversation! Register today at https://t.co/ijUmfPMi6i @MaryE_Carruth\xe2\x80\xa6'
96,"b'Day 69:  Mind Blown (again) \xf0\x9f\xa4\xaf\n\nYesterday @chriswoodteach taught me how to customize the Drummer by converting to MIDI region.  Now I can edit every last beat!  \nHow I use Drummer will never be the same again. Thanks, Chris! \n\n#365Tunes2021 #AppleEDUchat #LogicPro https://t.co/DK3jpp8PeH'"
97,"b'Can every day of #RemoteLearning be like this? \xf0\x9f\x92\xab\xf0\x9f\x98\x8a \n\nYesterday, I led a 2 hour workshop w/ 75 of our 4th Year Ss on creating music w/ #GarageBand on @AppleEDU #iPad \xf0\x9f\x8e\xb8 \n\nSs created #1564Challenge songs &amp; more! Here\xe2\x80\x99s some examples! \n#AppleEDUchat #EveryoneCanCreate #AppleTeacher https://t.co/zI2gLOMOxB'"
98,b'It sure is good to be outside with our learning after months of quarantine! #myoasiskl #ipad #AppleEDUchat @AppleEDU https://t.co/npkUD9KTDD'
99,b'RT @DoInkTweets: RT @techteachertom1: Our Yr 6 @ArcadiaSch students learning about the circulatory system. Using @DoInkTweets and cheap gre\xe2\x80\xa6'
100,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
101,"b'RT @techteachertom1: Our Yr 6 @ArcadiaSch students learning about the circulatory system. Using @DoInkTweets and cheap green t-shirts, they have created videos explaining how blood travels around the body. #EdTechUAE #AppleEDUchat #AppleDistinguishedSchool https://t.co/GOGaUGwMz6'"
102,b'RT @chriswoodteach: Updated our @trilbytv at @PortsmouthColl with #positivemessages for students to return to the classroom.  High impact #\xe2\x80\xa6'
103,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
104,"b'RT @JamfSoftware: Jenny Dunne, Executive Director of Learning at New Bridge MAT, will join Jamf at the #EdTechX spotlight session on 18 Mar\xe2\x80\xa6'"
105,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
106,b'RT @chriswoodteach: Updated our @trilbytv at @PortsmouthColl with #positivemessages for students to return to the classroom.  High impact #\xe2\x80\xa6'
107,b'Explore with #MediaMentorMonth\n\n\xf0\x9f\x93\xb2 Pick out a new app from the app store to explore with your child.\n\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc All activities available at https://t.co/trVuN01cqN\n\n#AppleEDUchat #GoogleEI #MIEExpert #digcit #isedcoach #edtech @chamada @watnunu #pypchat https://t.co/qAvJckj4n5'
108,b'RT @glotcha: A big thanks to @danielbbudd for the fun packed Coding for Secondary Learners session and the many hours of preparation work t\xe2\x80\xa6'
109,b'RT @chriswoodteach: Updated our @trilbytv at @PortsmouthColl with #positivemessages for students to return to the classroom.  High impact #\xe2\x80\xa6'
110,b'RT @chriswoodteach: Updated our @trilbytv at @PortsmouthColl with #positivemessages for students to return to the classroom.  High impact #\xe2\x80\xa6'
111,b'Updated our @trilbytv at @PortsmouthColl with #positivemessages for students to return to the classroom.  High impact #digitalsignage for #COVID19 all made with #Keynote - You can download the videos free here - https://t.co/54NNNqfcCt #AppleDistinguishedSchools #AppleEDUchat https://t.co/CW8EzsAdKz'
112,b'A big thanks to @danielbbudd for the fun packed Coding for Secondary Learners session and the many hours of preparation work that went into it. Who knew using SwiftUI in Swift Playgrounds was so easy? https://t.co/WHeMkKwNaq #AppleEDUchat'
113,"b'Anyone have a cool Numbers project for personal finance / PBL-type learning, aimed at Stage 3? Trying to gather ideas atm as I\xe2\x80\x99ve got a new project boiling....#AppleEDUchat #edchat #teaching #iPad #ADE'"
114,b'RT @JasonM_2: Such an important message! #aussieED #PrimarySTEMchat #appleEDUchat'
115,"b'RT @JamfSoftware: Jenny Dunne, Executive Director of Learning at New Bridge MAT, will join Jamf at the #EdTechX spotlight session on 18 Mar\xe2\x80\xa6'"
116,b'RT @pabt65: Excited to share my new #Pages template for Augmented Reality Maths in Year 2 with the app @ARMakrApp . Find out more at https:\xe2\x80\xa6'
117,b'Such an important message! #aussieED #PrimarySTEMchat #appleEDUchat https://t.co/nL7EAFe5vo'
118,"b'Jenny Dunne, Executive Director of Learning at New Bridge MAT, will join Jamf at the #EdTechX spotlight session on 18 March. There is still time to register and secure your spot for FREE.\nhttps://t.co/h0VS5b6x9P \n\n#AppleEDUChat #EdTechChat #AppleDistinguishedEducator https://t.co/CeKf64cOgL'"
119,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
120,b'Excited to share my new #Pages template for Augmented Reality Maths in Year 2 with the app @ARMakrApp . Find out more at https://t.co/Rc51Ol53fi #arvrinedu #ARmakr #iPad #everyonecancreate  @AppleEDU #AppleEDUchat https://t.co/6SO6xdi0BR'
121,b'Open to \xf0\x9f\x87\xb2\xf0\x9f\x87\xbe students. Register at \nhttps://t.co/yp82ngNQwq \nby 13th Mac #EveryoneCanCreate #iPadEd #DELIMa #CreativeWriting #AppleEDUChat Let\xe2\x80\x99s join! https://t.co/WlDXG4fePI'
122,b'How A Lawsuit Inspired Apple\xe2\x80\x99s Most Iconic Sounds https://t.co/nLReaiMRKx \n#AppleEDUchat #EveryoneCanCreate'
123,b'RT @BenHaydenEDU: Pull up a chair with @mat6453 and I next Tuesday 16th March at 8pm GMT as we look at leading creativity in learning! #App\xe2\x80\xa6'
124,b'Looking forward for this chat on Design Thinking #AppleEDUchat https://t.co/TdbBqAvzlc'
125,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
126,b'RT @danielbbudd: Looking forward to seeing everyone this afternoon #swift #AppleEDUchat #CriticalThinking https://t.co/CQJ58gaJhw'
127,"b'Our Year 6 @ArcadiaSch students learning about the circulatory system. Using @DoInkTweets and cheap green t-shirts, they have created videos explaining how blood travels around the body. #CollabUAE #EdTech #EdTechUAE #AppleEDUchat #AppleDistinguishedSchool https://t.co/CjxqZjOTeT'"
128,"b""RT @BenHaydenEDU: I shared @XpatEducator's 'One-Pagers' tonight during a staff meeting - they were a hit! I've since looked at editing them\xe2\x80\xa6"""
129,b'There is no evidence that associations between adolescents\xe2\x80\x99 digital technology engagement and mental health problems have increased #AppleEDUchat  https://t.co/7hyCF2ZgIZ'
130,"b""RT @vasu0299: Do u know?!\xf0\x9f\x91\x80\nElOn Musk was Teslas 4th CEO\nSteve JObs was Apple's 6th CEO\n\n#ElonMusk #joinkinoko #streamtwice #Survivor2021 #A\xe2\x80\xa6"""
131,"b""Do u know?!\xf0\x9f\x91\x80\nElOn Musk was Teslas 4th CEO\nSteve JObs was Apple's 6th CEO\n\n#ElonMusk #joinkinoko #streamtwice #Survivor2021 #Apple #AppleEDUchat #Tesla #CEOSurvey"""
132,b'Can\xe2\x80\x99t wait to see you there! #AppleEDUchat https://t.co/7nB0apkqgk'
133,b'@jakobesben I very much agree. Even sometimes what we educators feel is an open-minded comment or suggestion can in itself be a polarized opinion. #appleEDUchat'
134,b'Thank you @eh48 and @TTrzebiatowski for an awesome chat! #AppleEDUchat'
135,b'Thank you @eh48 and  @TTrzebiatowski  for a great #AppleEDUchat!'
136,b'Thank you for an amazing chat @TTrzebiatowski and @eh48! If you missed it follow the #AppleEDUchat to catch up on the amazing ideas shared https://t.co/AXCGLpLVhi'
137,b'Share your call to action at https://t.co/PJ9jgbs2i9!\n\n#AppleEDUchat https://t.co/MxqHNJMA1w'
138,b'Yes... Thank you for a great  discussion! @eh48 @TTrzebiatowski #AppleEDUchat'
