,Tweets
14,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
15,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
16,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
17,"b'Can\xe2\x80\x99t find my car in parking lot = #UtterPanic! With the #GalaxySmartTag, I could tag my car &amp; find it calmly. #SmartTagYoureIt, tell @SamsungMobileSA what your 1st reaction is &amp; enter the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts&amp;Cs apply'"
18,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
19,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
20,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
21,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
22,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
23,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
24,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
25,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
26,b'RT @SamsungMobile: There\xe2\x80\x99s no such thing as too much zoom. Upgrade to epic zoom with the new #GalaxyS21 Ultra. 100x zoom brings you closer\xe2\x80\xa6'
27,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
28,"b""RT @khumz_syd: @SamsungMobileSA @TrueLoveMag I'm captured\xe2\x9d\xa4\xef\xb8\x8f by the Single Take Camera feature on #GalaxyS21 with just one shutter I can get\xe2\x80\xa6"""
29,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
30,b'RT @khumz_syd: @TrueLoveMag @SamsungMobileSA @SamsungMobileSA  I love the #GalaxyS21 Single Take camera feature because it enables me to ca\xe2\x80\xa6'
31,b'Embrace your own unique style \xf0\x9f\x8c\xbc\xf0\x9f\x98\x8c\xf0\x9f\x8c\xbc\n\nGorgeous wavy flower @kirstenbosch_nbg\n\n#plantsofinstagram #ExploreWithNatGeo #GalaxyS21 #withGalaxy #wheretheskymeetstheland https://t.co/aOdQcz4KF4 https://t.co/xhJxJwtxTE'
32,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
33,"b'RT @SamsungMobileSA: @SiyaMoses2 You\xe2\x80\x99ve been entered into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro!  Ts &amp; Cs apply.\n\n The winne\xe2\x80\xa6'"
34,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
35,"b'RT @SamsungIndia: It\xe2\x80\x99s easy to record now, &amp; snap later with the new #GalaxyS21 Ultra 5G &amp; its 8K Video Snap feature! Screenshot the first-\xe2\x80\xa6'"
36,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
37,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
38,b'RT @SamsungMobile: It\xe2\x80\x99s all in the details. Literally. Upgrade to epic details with a 108MP camera of the new #GalaxyS21 Ultra that capture\xe2\x80\xa6'
39,b'RT @SamsungMobileSA: Not \xf0\x9d\x98\x86\xf0\x9d\x97\xbc\xf0\x9d\x98\x82 that can\xe2\x80\x99t find your car in the parking \xf0\x9f\x98\x8b With the #GalaxySmartTag you\xe2\x80\x99ll find it so quickly &amp; setting it up i\xe2\x80\xa6'
40,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
41,b'RT @SamsungMobile: There\xe2\x80\x99s no such thing as too much zoom. Upgrade to epic zoom with the new #GalaxyS21 Ultra. 100x zoom brings you closer\xe2\x80\xa6'
42,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
43,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
44,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
45,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
46,"b'Have a lot on my mind so I chose #MemorizeMySpot. With the #GalaxySmartTag, I have 1 less thing to worry about. #SmartTagYoureIt, tell @SamsungMobileSA what your 1st reaction is &amp; enter the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply. Tweet #MemorizeMySpot'"
47,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
48,"b'RT @SamsungMobileUS: Create share-ready GIFs, videos and stories in a single take with the new #GalaxyS21 Ultra 5G.'"
49,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
50,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
51,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
52,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
53,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
54,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
55,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
56,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
57,"b'I\xe2\x80\x99m a dreamer, my head\xe2\x80\x99s in the clouds, I think I might need to #GalaxyTagMyself when my daydreams run away with me \xef\x81\x8a. #SmartTagYoureIt, tell @SamsungMobileSA what you\xe2\x80\x99d tag 1st, enter into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply'"
58,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
59,"b'RT @SamsungMobileSA: The #GalaxySmartTag, lets you find whatever it\xe2\x80\x99s attached to! We\xe2\x80\x99re giving you a chance to WIN a #GalaxyS21, #GalaxySm\xe2\x80\xa6'"
60,"b""RT @ATT: The newest Samsung phone + the fast, reliable, secure network of #ATTNationwide5G. That's one heck of a combo. \xf0\x9f\x91\x8f\xf0\x9f\x93\xb1\xf0\x9f\x92\xa8\n\nLearn how you\xe2\x80\xa6"""
61,b'RT @kashifbuttpew: #GalaxyS21  I love the purple look.\nWhich one you like ??\n@Samsung_Pak \nPre Order\nhttps://t.co/MDICO0n8R2 https://t.co/O\xe2\x80\xa6'
62,b'RT @kashifbuttpew: Only Samsung #GalaxyS21 can capture with 8k results \nPre Order\nhttps://t.co/wl8Xp3sbkN\n#SamsungUnpacked \n@Samsung_Pak ht\xe2\x80\xa6'
63,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
64,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
65,b'RT @TrueLoveMag: Want to win a #GalaxyS21 Series 5G with @SamsungMobileSA ? Simply tell us what\xe2\x80\x99s your favourite feature. Click here to ent\xe2\x80\xa6'
66,b'@TrueLoveMag @SamsungMobileSA My favorite feature thee camera It is epic in every way designed with a unique contour cut camera to create a revolution in photography letting me capture cinematic 8k video and snap epic stills with 48 MP main camera Life is epic.. #GalaxyS21 https://t.co/g85kHdZOvv'
67,b'RT @kashifbuttpew: #GalaxyS21  I love the purple look.\nWhich one you like ??\n@Samsung_Pak \nPre Order\nhttps://t.co/MDICO0n8R2 https://t.co/O\xe2\x80\xa6'
68,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
69,b'RT @kashifbuttpew: Only Samsung #GalaxyS21 can capture with 8k results \nPre Order\nhttps://t.co/wl8Xp3sbkN\n#SamsungUnpacked \n@Samsung_Pak ht\xe2\x80\xa6'
70,"b""RT @SATYABRATAKAR2: @SamsungIndia @NGTIndia Here's is my perfect screenshot Dear @SamsungIndia Team \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x97\xf0\x9f\x98\x8d\n \n#GalaxyS21 @NGTIndia #8KVideoSna\xe2\x80\xa6"""
71,"b""RT @SATYABRATAKAR2: @SamsungIndia Here's is my perfect screenshot Dear @SamsungIndia Team \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x97\xf0\x9f\x98\x8d\n \n#GalaxyS21 @NGTIndia #8KVideoSnap #Contest\xe2\x80\xa6"""
72,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
73,b'RT @kashifbuttpew: #GalaxyS21  I love the purple look.\nWhich one you like ??\n@Samsung_Pak \nPre Order\nhttps://t.co/MDICO0n8R2 https://t.co/O\xe2\x80\xa6'
74,b'RT @kashifbuttpew: Only Samsung #GalaxyS21 can capture with 8k results \nPre Order\nhttps://t.co/wl8Xp3sbkN\n#SamsungUnpacked \n@Samsung_Pak ht\xe2\x80\xa6'
75,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
76,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
77,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
78,"b'RT @kashifbuttpew: Epic uncovered! Presenting, the first-ever covershot snapped straight out of 8K video,  #GalaxyS21 Ultra.'"
79,b'RT @kashifbuttpew: #GalaxyS21  I love the purple look.\nWhich one you like ??\n@Samsung_Pak \nPre Order\nhttps://t.co/MDICO0n8R2 https://t.co/O\xe2\x80\xa6'
80,b'RT @kashifbuttpew: Only Samsung #GalaxyS21 can capture with 8k results \nPre Order\nhttps://t.co/wl8Xp3sbkN\n#SamsungUnpacked \n@Samsung_Pak ht\xe2\x80\xa6'
81,b'A must have phone for a perfect style statement and technology\n#GalaxyS21'
82,b'A magnificent click by #GalaxyS21 . https://t.co/YVfSqReuCv'
83,b'#GalaxyS21  enabled with 5G technology this time. https://t.co/UUT7G95cMa'
84,b'It comes beautiful colors.\n#GalaxyS21 https://t.co/nOEc76BJvF'
85,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
86,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
87,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
88,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
89,b'#GalaxyS21 offers you smart editing with intelligent camera. https://t.co/VoBV53nKbL'
90,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
91,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
92,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
93,b'@hinasafi @TayyabMemon Best wishes \xe2\x98\xba\xef\xb8\x8f\nMust share experience\n#GalaxyS21'
94,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
95,"b""RT @ATT: The newest Samsung phone + the fast, reliable, secure network of #ATTNationwide5G. That's one heck of a combo. \xf0\x9f\x91\x8f\xf0\x9f\x93\xb1\xf0\x9f\x92\xa8\n\nLearn how you\xe2\x80\xa6"""
96,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
97,b'Capture your moments with #GalaxyS21  https://t.co/i9rh5HiUn2 https://t.co/RNlRBRluDJ'
98,"b""The newest Samsung phone + the fast, reliable, secure network of #ATTNationwide5G. That's one heck of a combo. \xf0\x9f\x91\x8f\xf0\x9f\x93\xb1\xf0\x9f\x92\xa8\n\nLearn how you can get the #GalaxyS21 #5G for free (yes, free!) with trade-in at https://t.co/pR9KqEuvIU. https://t.co/p6krxteIZh"""
99,b'@sanna_60_ The worth buying smartphone of the year\n#GalaxyS21'
100,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
101,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
102,b'RT @TechnicalGuruji: LIKE and RT..#GalaxyS21 #TGFamily...\nLove you Guys... https://t.co/6gvp9PHGKS'
103,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
104,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
105,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
106,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
107,"b'Have a lot on my mind so I chose #MemorizeMySpot. With the #GalaxySmartTag, I have 1 less thing to worry about. #SmartTagYoureIt, tell @SamsungMobileSA what your 1st reaction is &amp; enter the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply.'"
108,b'RT @TrueLoveMag: Want to win a #GalaxyS21 Series 5G with @SamsungMobileSA ? Simply tell us what\xe2\x80\x99s your favourite feature. Click here to ent\xe2\x80\xa6'
109,"b""@TrueLoveMag @SamsungMobileSA My favorite feature is Camera, a good quality Camera is what I need especially now that I'm pregnant I will take beautiful pictures of my baby \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f #GalaxyS21 @SamsungMobileSA"""
110,b'@SamsungIndia @NGTIndia #8KVideoSnap #GalaxyS21 #NGTIndia  Samsung best smartphone in the world Samsung believe in the best Awesome Samsung https://t.co/03b5KSar4V'
111,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
112,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
113,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
114,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
115,"b'RT @SamsungMobileSA: @nechie_marbles You\xe2\x80\x99ve been entered into the draw to WIN a #GalaxyS21, Smart Tag and Buds pro!  Ts &amp; Cs apply.\n\n The w\xe2\x80\xa6'"
116,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
117,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
118,"b'Can\xe2\x80\x99t find my car in parking lot = #UtterPanic! With the #GalaxySmartTag, I could tag my car &amp; find it calmly. #SmartTagYoureIt, tell @SamsungMobileSA what your 1st reaction is &amp; enter the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts&amp;Cs apply'"
119,"b'THAT feeling when you\xe2\x80\x99re late &amp; you can\xe2\x80\x99t find your keys, that\xe2\x80\x99s why I chose #GalaxyTagMyKeys. #SmartTagYoureIt tell @SamsungMobileSA what you would tag 1st &amp; you\xe2\x80\x99re entered into the draw to WIN a #GalaxyS21, Smart Tag &amp; Buds pro! Ts &amp; Cs apply.'"
120,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
121,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
122,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
123,"b'RT @SamsungMobile: Can your phone capture all the amazing photos, videos, close-ups and angles with a single click? If not, it\xe2\x80\x99s time to up\xe2\x80\xa6'"
124,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
125,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
126,"b'Have a lot on my mind so I chose #MemorizeMySpot. With the #GalaxySmartTag, I have 1 less thing to worry about. #SmartTagYoureIt, tell @SamsungMobileSA what your 1st reaction is &amp; enter the draw to WIN a #GalaxyS21, Smart Tag and Buds pro! Ts&amp;Cs apply.'"
127,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
128,b'RT @LiveSmart: Capture epic moments at the palm of your hands. #GalaxyxBTS\n\nGet the #GalaxyS21 Ultra 5G now: https://t.co/8sc6Jl1WDL https:\xe2\x80\xa6'
129,b'Overall features of Samsung #GalaxyS21! https://t.co/RGsRRY2X4x'
130,b'@TrueLoveMag @SamsungMobileSA 8K Video snap #GalaxyS21 @SamsungMobileSA'
131,b'Samsung #GalaxyS21 is also best for Gaming! Never drops FPS\xe2\x9d\xa4\xef\xb8\x8f https://t.co/B1dWLnBGdf'
