Tweet,Date,Time,Twitter Handle
"@Farhana42321225 Hi Farhana. I'm sorry to hear you've got a reason to complain. You can find the different ways to contact our customer service team, including an online form, on our website: https://t.co/8rUz641EFB. ^Jimmy",2023-05-18,18:39:30,LloydsBank
"@Leanne07Leanne Hi Leanne. Thanks for getting in touch. If your card's expiry date is 05/23, this would expire at the end of May and replacement are usually received by the 25th of the month. ^Katy",2023-05-18,14:12:10,LloydsBank
"@bengoldstraw Hi Ben, thanks for getting in touch. You can hand this card in at any branch if you're passing or give us a call on 0800 096 9779. Just press * 0 (star and then zero) if you're asked to enter any personal details on our automated service. Many thanks. ^Will",2023-05-18,13:05:52,LloydsBank
"@xheyitschlox Hi Chloe, I'm Stephen, thanks for getting in touch. While we're unable to access your details on here, can I ask if you've checked your account online, in the pending section? Also, have you received any texts from us about the payment? Feel free to DM us with your reply.",2023-05-18,12:01:02,LloydsBank
"@______Steve Have you called the number shown on the screen? If so, what did they advise? ^Claire",2023-05-18,11:38:35,LloydsBank
"Have you thought about the retirement lifestyle you want? @WhichMoney have surveyed more than 1,000 retirees to work out how much money you might need in retirement.
We have tools and information on pensions, retirement and planning for the future here: https://t.co/sn3evykW50 https://t.co/AYzHk9Fh8R",2023-05-18,11:30:00,LloydsBank
"@______Steve Hi, I'm Jimmy. Thanks for reaching out. Our website is working as normal. What are you trying to do online? What happens when you try it?",2023-05-18,11:22:16,LloydsBank
@JadeNorth You can visit: https://t.co/Ar0JHaKr2A and read more on how it will work and what to do when you get the activation code. 2/2 ^Laura,2023-05-18,10:18:52,LloydsBank
"@JadeNorth There is a 30-day selection period, so it will be 30 days from yesterday before this ends. You'll then receive an email 2 working days after this with the activation code.  1/2 ^Laura",2023-05-18,10:18:44,LloydsBank
"@racheld21464680 This isn't something we can check from here, Raqual; my colleagues on the call will be able to clarify this for you. ^Graeme",2023-05-18,10:16:00,LloydsBank
"@racheld21464680 Hi Raqual. If the payment hasn't been made within 2 hours, please call us on the number onscreen and we can look into this for you. ^Tony",2023-05-18,10:04:54,LloydsBank
"@nicholaschan50 Hi, I'm Laura. Thanks for getting in touch. I have sent you a DM which you should be able to reply to.",2023-05-18,10:04:03,LloydsBank
"@JadeNorth Hi, I'm Laura. Thanks for getting in touch. Can I ask when you upgraded and selected Disney+ as the benefit?",2023-05-18,09:48:06,LloydsBank
"@Liveandgrow_uk Hi, I'm Tony. BACS will generally take 3 to 4 working days to be received. I hope this helps.",2023-05-18,08:55:45,LloydsBank
"Buying online? Always type in a site address rather than clicking the link in an email or social media post. For more advice, visit: https://t.co/dNRTEqlRqV 
#ByYourSide https://t.co/sr3SjkUuiJ",2023-05-18,07:00:05,LloydsBank
@CrockerCB You're welcome. Should you decide to reside in the UK in the future please do get back in touch. ^Ros,2023-05-18,00:11:00,LloydsBank
"@AzuriteEnigma No problem at all, take care. ^Margaret Mary",2023-05-17,23:18:03,LloydsBank
"@AzuriteEnigma That’s odd. We’d need to check your activity to investigate why the text isn’t being received. Unfortunately, we can’t do this through Twitter as we can’t access customer details here. If you please call us on; 0345 300 0116 (8am-8pm) a colleague will help further ^Courtney",2023-05-17,23:11:26,LloydsBank
"@CrockerCB Hi, I'm Kieran. Thanks for getting in touch. You would need to be a UK resident to open an account with us. Thanks for considering us for your banking.",2023-05-17,23:05:52,LloydsBank
"@AzuriteEnigma Hi, I'm Dave. Thanks for getting in touch. I'm not aware of any current problems with our services. Could it be that we hold the incorrect phone number for you?",2023-05-17,23:04:11,LloydsBank
"@CodeAmidCoffee These rates still apply. If any changes are to be made to the cashback rates, we will notify you. ^Kieran",2023-05-17,22:04:58,LloydsBank
"@CodeAmidCoffee Hi Paul. Thanks for getting in touch today. Are you referring to the everyday offers? If so, you'll be given the cashback rate online. Hope this helps. ^Anne",2023-05-17,21:55:08,LloydsBank
"@HansG_and_chins Hi Hans. Thanks for getting in touch today, and I can understand your concern. I'd like to check the text is genuine. Can you DM a screenshot please? ^Anne",2023-05-17,21:12:00,LloydsBank
"@reallybreen Hi David. Thanks for getting in touch. If you're a UK resident, and are purchasing a property in the UK, you can apply. I hope this helps! ^Claire",2023-05-17,19:25:46,LloydsBank
"@MarkSam40911891 Thanks for giving us more info, and I understand your disappointment. What exactly has happened? Are you waiting for them to investigate your claim? Have they given a timescale? ^Anne",2023-05-17,19:14:04,LloydsBank
@darrenjkidd Hi Darren. Thanks for getting in touch. There is an issue with notifications not clearing. This should resolve on its own. I'm sorry for any inconvenience. ^Claire,2023-05-17,19:13:40,LloydsBank
"@TheRavensHerald Hi, I'm Jimmy. Thanks for getting in touch. We take a number of factors into consideration when reviewing rates. Any change in the Bank of England Base Rate will form part of rate reviews across our account range. If any changes are made, they'll be communicated on our website.",2023-05-17,18:32:28,LloydsBank
@retirednorts Hi John. The Bank of England Base Rate is one of a number of factors that we take into account when reviewing interest rates. This recent increase will form part of ongoing rate reviews across our product ranges. ^Tony,2023-05-17,17:43:05,LloydsBank
"@ABG135792468 Hi, I'm Jimmy. I'm sorry to hear about your loss, please accept our condolences. If you contact our dedicated Bereavement team on 0800 096 4318, one of my colleagues will be able to advise further from there. Lines are open 8am-8pm 7 days a week.",2023-05-17,17:40:31,LloydsBank
"@CatGarner Thanks for the screenshot. As you've already spotted, this isn't genuine. I've already forwarded a version of this message to our relevant team. Please don't reply to it or call the number. ^Jimmy",2023-05-17,17:32:44,LloydsBank
"@CatGarner Hello, Catherine, I’m James M. Could you possibly send us a DM with a screenshot of this text message that you’ve received? If it’s not from us, you can use 7726 to report the scam text for free to your network provider. Many thanks.",2023-05-17,17:23:57,LloydsBank
"@petergourri Hi, I'm Jimmy. We take a number of factors into consideration when reviewing rates. Any change to the base rate will form part reviews across our accounts. If any changes are made, they'll be updated on our website where you can find our current rates: https://t.co/anidzBJN0S.",2023-05-17,16:43:07,LloydsBank
"@AsvpxLennay Hi there, thanks for getting in touch. Yes, the new card design is starting to be phased in. I hope this helps. ^Ronnie",2023-05-17,15:07:02,LloydsBank
"@puffinmama101 You're more than welcome, I'm glad we could help. Take care. ^Stephen",2023-05-17,14:21:45,LloydsBank
"@Jenabz51 Sorry, we're unable to arrange a call back, but if you can give us some more info as requested, please be assured we'll do our best to assist you &amp; your stepfather further. ^Colin S",2023-05-17,13:52:17,LloydsBank
"@Jenabz51 Hi, I'm David. Thanks for getting in touch. I'm very sorry to hear this. Although we don't have access to customer details here, we'll certainly try to help you and your stepfather. Can you provide more details of what's happened and the difficulties you've faced? DM us.",2023-05-17,13:44:46,LloydsBank
"Mental health can affect the way you deal with money. At these times, we can help you with added support and information. Find out more about how we can help on our website: https://t.co/mRTO0c7yDv https://t.co/ZWBjNRhV28",2023-05-17,13:00:00,LloydsBank
@puffinmama101 Hi Sadie. Thanks for getting in touch today. This is a genuine number from our fraud prevention team. Is everything okay? ^Anne,2023-05-17,12:35:33,LloydsBank
@JanetAn07956922 You're welcome. ^Anne,2023-05-17,12:24:47,LloydsBank
"@JanetAn07956922 I see. If you can call our POA team on 0345 300 0071 (8am-8pm, 7 days a week) they'll be able to check this for you. I hope this helps! ^Claire",2023-05-17,12:19:04,LloydsBank
"@RealSockey99 Hi, I’m John. I’m sorry to read that your wife received this call, you’re correct that this is a scam. Information on how to protect yourself from scam calls can be found on our website here: https://t.co/xTgA6sweV3. Take care.",2023-05-17,12:10:10,LloydsBank
"@GarethSharp7 …alternatives, such as applying for a sole bank account via our website? ^Katy (2/2)",2023-05-17,12:04:50,LloydsBank
"@GarethSharp7 I'm sorry to hear this. When you open an account in the branch there is info that they legal have to provide with you and that's why the appointment can take up to an hour. Just to clarify, what did they advise as the next steps? Did they offer any… ^Katy (1/2)",2023-05-17,12:04:43,LloydsBank
"@GarethSharp7 Hi, I'm Jimmy. Thanks for getting in touch &amp; making us aware of your situation, I appriciate it. What type of account are you looking to open?",2023-05-17,11:54:29,LloydsBank
"@DiamondDaysXO Okay, so we can look into this, I'd recommend you call our Card Services team on: 0345 606 2172. ^Katy",2023-05-17,11:44:32,LloydsBank
"@JanetAn07956922 Hi Janet Thanks for getting in touch. Just to clarify, are you looking to register the POA with us? ^Katy",2023-05-17,11:36:07,LloydsBank
@DiamondDaysXO I'm sorry for any disappointment. Can you send a photo of the letter? Please make sure no personal details are showing in the photo. ^Anne,2023-05-17,11:35:08,LloydsBank
"@Geoff27geebee Hi, I'm Colin S. Thanks for getting in touch. Can you give us some more info about what's happening? https://t.co/QCh3PtycmG",2023-05-17,11:33:34,LloydsBank
@StellaNicolaSm1 Hi Stella. The Bank of England Base Rate is one of a number of factors that we take into account when reviewing interest rates. This recent increase will form part of ongoing rate reviews across our product ranges. ^Tony,2023-05-17,11:31:23,LloydsBank
"@DiamondDaysXO Hi Lauren. Thanks for getting in touch. I’m sorry to hear this. So we can advise you further, can you please give more info on what's happened? How were you advised that the balance transfer had been rejected? ^Katy",2023-05-17,11:29:22,LloydsBank
"@PressItOnVinyl Hi, I'm David. Thanks for messaging. Any future change in interest rates to our savings accounts will be displayed via our website, along with information on the base rate changes, can be found here: https://t.co/B72Me7Yd8l. Many thanks.",2023-05-17,09:45:43,LloydsBank
"@samshippen Hi, Sam. Thanks for getting in touch. Any change in interest rates to our Savings accounts will be displayed via our website, along with information on the base rate changes, can be found here: https://t.co/B72Me7Yd8l. Many thanks. ^David.",2023-05-17,09:39:21,LloydsBank
"@TheBaldSimian Hi, Steve. I'm very sorry to hear this, is there anything we can try to help with here instead? Many thanks. ^David.",2023-05-17,08:43:47,LloydsBank
"Today is #NationalNumeracyDay, a day to highlight the importance of numeracy in day to day situations.  

The Lloyds Bank Academy has free online tools and learning to help you develop skills around budgeting, borrowing and all round money management: https://t.co/OcED5zzMzn https://t.co/5ik0znS6TE",2023-05-17,07:00:01,LloydsBank
@itsallajoke4 This would be on the 6th Bank working day after we've received the cheque. ^Shahada,2023-05-17,01:01:37,LloydsBank
"@itsallajoke4 Hi, I'm Shahada. Thanks for getting in touch. We'll usually pay the amount of the cheque into your account by the sixth working day after we receive it. We'll convert it into pounds using our standard exchange rate for the payment.",2023-05-17,00:23:31,LloydsBank
"@Matt20681 Hi Matt, I'm Martin. Thanks for getting in touch, I'm sorry to read your message. You can certainly log a complaint with us using one of these options:

• Using our online complaint form: https://t.co/kwkS42RTGB 
• Calling us 
• Visiting a branch",2023-05-16,23:05:15,LloydsBank
"@carlawood70 Hi Carla. Thanks for letting us know about the message. I've forwarded the details on to our relevant team. If you need anything else, please don’t hesitate to get back in touch. ^Jimmy",2023-05-16,19:49:53,LloydsBank
@Matt20681 Hi Matt. Thanks for reaching out. Our Secure Messaging team can be reached through the support section on the app to discuss your accounts. ^Jimmy,2023-05-16,18:34:03,LloydsBank
"@JvRuud I'm sorry again. If you'd like to raise a complaint, please mention this if you call back. You can also write to Lloyds Bank, Customer Services, Correspondence Centre, BX1 1LT. ^Claire",2023-05-16,16:31:04,LloydsBank
"@JvRuud I’m afraid we are unable to arrange callbacks on Twitter. 
I realise that this is not the answer you are looking for, but you’d be best to call us back with what you are looking to do.

^StephenB",2023-05-16,16:21:19,LloydsBank
"@JvRuud Hello, I’m StephenB. I’m sorry to hear you call was cut off.

To see if we can help or guide you in the right direction, what were you looking to discuss?",2023-05-16,16:09:32,LloydsBank
@MarkSam40911891 Hi Mark. I'm very sorry to hear of the problems you're having with Allianz. Have you raised a formal complaint with them? ^Paul https://t.co/QCh3PtyKce,2023-05-16,15:17:28,LloydsBank
"@Not1066 Hi Dave. Mortgage rates would be dependent on a customer's specific circumstances, and we can't provide info on specific rates here. If you'd like to discuss this further, you can call our specialist team on 0800 783 3534. Lines are open Mon-Fri 8am – 8pm &amp; Sat 9am – 4pm. ^James",2023-05-16,12:49:05,LloydsBank
"@AndrewCLeach Hi Andrew. Thanks for reaching out. We take a number of factors into consideration when reviewing rates. Any change in the Bank of England Base Rate will form part of rate reviews across our account range. If any changes are made, they will be communicated on our website. ^Paul",2023-05-16,11:27:46,LloydsBank
"@xas7wcrg9e Hi, I'm Jimmy. Thanks for reaching out. We take a number of factors into consideration when reviewing our rates. Any change in the Bank of England Base Rate will form part of rate reviews across our savings range. If any changes are made, they will be communicated on our website.",2023-05-16,11:20:01,LloydsBank
"@jen_f16 Glad to hear that. Take care.

^StephenB",2023-05-16,10:01:57,LloydsBank
"@jen_f16 Hi, I'm David. Thanks for getting in touch. What you've described it sounds like a connection issue when you try to open the app on your device. Can you try stopping the app from running in the background and then relaunching it? Also try switching between wifi and mobile data.",2023-05-16,08:03:41,LloydsBank
We’ve got tips and advice to help with yours and your children's money questions. Visit: https://t.co/WIxFwCMoVc #ByYourSide #MoneyTips https://t.co/C5PKq3lo4i,2023-05-16,07:00:23,LloydsBank
"@borgia_lady If you’d like to make a complaint about the service you’ve received, you’ll find full details for doing so here; https://t.co/CwmFCNWzdC ^Courtney (2/2)",2023-05-15,23:30:31,LloydsBank
"@borgia_lady I understand. If you’re unable to close it online, it would need to be done by phone. I appreciate you’ve already called but it would be best to call us on; 0345 072 5555 (7am-8pm) and a colleague will help further. (1/2)",2023-05-15,23:30:03,LloydsBank
"@borgia_lady Hi, I'm Keavy. Thanks for getting in touch. Sorry to hear this. Please visit https://t.co/cYq5HPUip0 for more information on how to close your account.",2023-05-15,22:04:07,LloydsBank
"@mufc_girl20 Hi there, thanks for your tweet. If the payment hasn't yet gone through for you, the team on 0800 917 7017 should be able to assist further. Apologies for the inconvenience. ^Ronnie",2023-05-15,19:01:20,LloydsBank
"@NorvilleHelen Thank you, we're limited to what we can assist with via Twitter as we don't have access to your details to see why this may have happened. We would suggest calling us on: 0345 300 0000 and one of my colleagues will look into this further for you. ^Johnjames",2023-05-15,15:14:04,LloydsBank
@NorvilleHelen How much were you trying to pay in? Were you using a debit card and PIN or a personalised paying in slip? ^Laura,2023-05-15,15:02:45,LloydsBank
"@NorvilleHelen Hi, I'm PaulR. Sorry to read your tweet. Are you given any information in the Post Office as to why they're declining your deposit? Do you have access to your account through our app?",2023-05-15,14:50:07,LloydsBank
"@mattj1795 Hi there, thanks for tweeting. We're not experiencing any issues, I'm afraid. The message would indicate the wrong details are being entered. Are you receiving the message on both app and desktop site? ^Ronnie",2023-05-15,13:48:21,LloydsBank
"@justruth_ Hi, I'm Colin S. Thanks for getting in touch. As it's a new card, it'll have a new card number.",2023-05-15,13:17:29,LloydsBank
"@LouiseF76596008 Hi, I'm Mike. Sorry to hear about your difficulty with this, Louise. Is this Allianz Assistance travel insurance that comes with an account with us or a policy he holds with us directly? Can you tell me more about the situation? Feel free to DM us.",2023-05-15,12:42:02,LloydsBank
"@MissLovesToKnit Thank you for confirming this. In this situation, so it can be fully investigated. You’d be best to contact our Internet support team on 0345 300 0116 (Lines open 8am-8pm 7 days a week). 
They’ll look into this further.

^StephenB",2023-05-15,12:35:56,LloydsBank
"@RichAndStrange Is you mum trying to apply for an account, and this is why she's being asked for this information? Has she spoken anyone over the phone or in branch regarding this issue? If so, what have they advised? You can DM if preferred.  2/2",2023-05-15,12:14:16,LloydsBank
"@RichAndStrange Hi Rob, I'm Johnjames. I'm sorry to hear of these issues your mums been having. Can you provide a little more information, please? 1/2",2023-05-15,12:14:09,LloydsBank
"@wilson_mick Hi Mick, I'm sorry to hear that. Have you discussed this with a credit reference agency, or had a look at your credit report at all? Can I check, are you currently managing your finances ok at the moment? ^James https://t.co/QCh3PtycmG",2023-05-15,12:10:51,LloydsBank
"@da_fano Just to check, is this when you've tried to log in, or when you're trying to download the statements? What does the error message on the screen display? Feel free to DM us with your reply if you prefer. Many thanks. ^Stephen",2023-05-15,12:05:33,LloydsBank
"@da_fano Hi there, I'm sorry to read your tweet. We're not aware of any issues I'm afraid. Are you able to try using a different browser or device and let us know what happens? Thanks. ^Ronnie",2023-05-15,11:52:06,LloydsBank
"@MissLovesToKnit Hi, I'm Laura. Thanks for getting in touch. Can I ask what type of handset you have?",2023-05-15,11:36:57,LloydsBank
"Worrying about money often impacts our mental health. Through colleague fundraising, we helped @mentalhealthuk launch Mental Health &amp; Money Advice. Cecilia, one of their senior advisors, tells us more about the service: https://t.co/XUPgvfNZbz #MentalHealthAwarenessWeek https://t.co/7jsboQ2Tlv",2023-05-15,11:00:46,LloydsBank
@acuity_academy You're welcome. Please let us know if you need help with anything else at all. ^James,2023-05-15,10:06:14,LloydsBank
@acuity_academy That's odd. Could you try removing and reinstalling the app? ^Paul,2023-05-15,09:51:43,LloydsBank
"@acuity_academy Hi, I'm Colin S. Sorry to hear that as we're not aware of any issues. What's happening when you try to log on?",2023-05-15,09:26:41,LloydsBank
@artisannes Glad to hear that Anne &amp; thanks for letting us know. ^Colin S,2023-05-15,09:08:26,LloydsBank
"@artisannes Hi, I’m StephenB. Thank you for getting in touch.

We’re not aware of any issues with Internet Banking. 
Have you tried closing the app from running in the background?",2023-05-15,09:07:00,LloydsBank
"@artisannes Sorry to hear you're having issues with our app, Anne. What happens when you try to log in through our app? Have you tried powering off your device and restarting it to see if that helps? ^Mike",2023-05-15,09:03:46,LloydsBank
"@franwoolard16 Hi Fran. I'm sorry for any confusion caused by this. We wouldn't have access to any messages, but if you're unable to see any new ones in your inbox, please disregard the email. ^Paul",2023-05-15,08:31:47,LloydsBank
"Do you want to know more about equity release? On May 18th we’ll be running an online session, explaining all you need to know and answering your questions . Sign up today: https://t.co/5BEgjP57Xz https://t.co/UKRjGj1qx2",2023-05-15,07:00:01,LloydsBank
@tgs30 You're welcome. I'm glad it's working now. ^Lee,2023-05-14,17:45:43,LloydsBank
"@tgs30 Hi Tracey. Thanks for reaching out. Thanks for reaching out. Can you try killing it in the background before trying it again? If that doesn't fix it, please uninstall/reinstall the app to see if it makes a difference.",2023-05-14,17:42:02,LloydsBank
"@grugel_kelly Hi Kelly, thanks for getting in touch. We're not experiencing any issues at this time. To clarify, has your partner tried to send you a payment, but it's not left their account yet? What happens when you try to make a transfer from your account? Feel free to send us a DM. ^Will https://t.co/QCh3PtycmG",2023-05-14,17:02:32,LloydsBank
"@Margo2408 If you're unable to visit the branch, please write to us at:

Account Closure Team
Lloyds Bank PLC,
Box 1,
BX1 1LT

Please include your sort code and account number, along with your signature and instructions on what to do with any remaining funds. I hope this helps. ^Paul",2023-05-14,16:36:26,LloydsBank
"@Margo2408 Hi, I'm Will, thanks for getting in touch. What specific type of account are you looking to close? Do you use our mobile app? https://t.co/QCh3PtycmG",2023-05-14,14:50:05,LloydsBank
"@nicotoby You’re welcome, Joe. If you require anything further, please don’t hesitate to contact us. Have a nice day. ^John",2023-05-14,10:30:11,LloydsBank
"@nicotoby Hi Joe. Thanks for getting in touch! Replacements generally arrive within the last two weeks of the month, so I'd expect the new card to be with you very soon. ^Graeme",2023-05-14,10:26:57,LloydsBank
"@AndersonAvril Hi, I'm John. Thanks for getting in touch. I’m sorry to read that the Everyday Offers don’t suit you. The offers available to you change over time. If they're not available to you now, you may get suitable offers in the future. We're unable to say when this may happen though.",2023-05-14,10:17:28,LloydsBank
@MadCornishBird Sorry to hear that. Were our Fraud Team unable to resolve your issue? What did they advise? ^Will https://t.co/QCh3PtycmG,2023-05-14,09:24:54,LloydsBank
@itmustbethen You're welcome. ^Laura,2023-05-14,09:06:05,LloydsBank
@MadCornishBird Hi Sue. I'm sorry to hear that you're having trouble making a payment. Have you spoken to our team on 0345 3000 000? ^Paul,2023-05-14,09:01:11,LloydsBank
"@itmustbethen Our team is available from 8am, so feel free to call from then. ^Paul",2023-05-14,08:54:08,LloydsBank
"@itmustbethen Thanks for the info. When you call again, can you try without entering any info when asked? Either stay silent, or press *0 when asked to enter anything. ^Claire",2023-05-14,08:30:43,LloydsBank
"@itmustbethen When you say there's been no-one available to answer calls, is your call cut off, or is there simply a wait to speak with someone? ^Graeme",2023-05-14,08:17:01,LloydsBank
"@itmustbethen Can I check when you've said you're switching to Club Lloyds, are you trying to upgrade an account you already have with us to this? Or, have you applied for a new Club Lloyds account and are trying to complete the online switch form? 2/2 ^Laura",2023-05-14,08:03:34,LloydsBank
"@itmustbethen Thanks for confirming. This is the correct number that would be shown when calling via the app to speak to our Bank Accounts team. However, the Switching team are only available Mon -Fri 9am until 5pm. 1/2 ^Laura",2023-05-14,08:03:20,LloydsBank
"@itmustbethen The service is up &amp; running as normal via the app, meaning the issue could be linked to your specific account. In those circumstances, it would indeed be necessary to speak with the team directly. Could you confirm exactly what number you've tried calling? ^Graeme",2023-05-14,06:45:48,LloydsBank
"@itmustbethen Hi, I'm Claire. I'm sorry to hear this. Have you tried via the website instead? What were you advised via the chat service?",2023-05-14,06:31:39,LloydsBank
"@AsemG15 Hi, I’m Colin M. Thanks for getting in touch. We’re carrying out some essential maintenance to our online services at this time. More information can be found here: https://t.co/jj8kHPALKd",2023-05-14,01:46:11,LloydsBank
"@dylanvilla1997 Hi, I’m Colin M. Thanks for getting in touch. We’re carrying out some essential maintenance to our online services at this time. More information can be found here: https://t.co/Ts4Xcr9Yaj",2023-05-14,01:29:20,LloydsBank
"@MSwift13 Hi, I’m Colin M. Thanks for getting in touch. We’re carrying out some essential maintenance to our online services at this time. More information can be found here: https://t.co/SZrss6ydrf",2023-05-14,01:21:21,LloydsBank
"@RJAGleeson Hi Rory. Thanks for getting in touch this evening. I'm sorry to hear that you were a victim of fraud, and I'm glad to hear that our team were able to help. I hope you can have a good evening now. ^Anne",2023-05-13,19:26:08,LloydsBank
@johnineurope321 Hi John. Enjoy and nice gif! I understood that reference. 👍 ^Tony,2023-05-13,18:22:12,LloydsBank
"@RhodesLisa OK. Can you try killing it in the background before trying it again? If that doesn't fix it, please uninstall/reinstall the app to see if it makes a difference. ^Jimmy",2023-05-13,15:41:01,LloydsBank
"@RhodesLisa Thanks for confirming this, Lisa. This sounds like it may be a connection issue. If you could please try switching your internet connection between Wi-Fi and mobile data, this may resolve it for you. Please DM to let us know how you get on. ^John",2023-05-13,15:35:01,LloydsBank
@RhodesLisa Hi Lisa. Thanks for getting in touch. What happens when you try to log on? Do you get any error messages? ^Jimmy,2023-05-13,15:30:47,LloydsBank
"@Taff294 Hi, I’m John. I’m sorry to read that you’re having issues with the app. Can you please confirm if you’re receiving an error message? If so, can you please DM us with either a screenshot or confirming the exact wording in the message?",2023-05-13,12:07:03,LloydsBank
"@sircharliesmum Hi, I'm Laura. Thanks for getting in touch. We do print on the front of the cards whether it's debit or credit card to allow the cards to be checked before being used.",2023-05-13,12:06:56,LloydsBank
@vikpotts1 Hi Vikki. Thanks for your lovely feedback. I'm glad your child is happy to have an account with us. Have a great weekend! ^Anne,2023-05-13,12:02:31,LloydsBank
"@ben_walter92 You’re welcome, Ben. If you require anything further, please don’t hesitate to contact us. Have a nice day. ^John",2023-05-13,11:48:35,LloydsBank
"@BedelianTara You’re welcome. If you require anything further, please don’t hesitate to contact us. Have a nice day. ^John",2023-05-13,11:36:57,LloydsBank
@ben_walter92 Hi Ben. Normally if you don't select a different benefit you'll be sent the new one again. Is this what you're looking to do? ^Tony,2023-05-13,11:35:17,LloydsBank
"@BedelianTara Hi, I’m John. I’m sorry to read that you’re having problems with the app. Can you please try force closing this and restarting it? Can you also please try switching between Wi-Fi and mobile data? Please DM to let us know how you get on.",2023-05-13,11:32:29,LloydsBank
"@superssonic Hi David. I'm sorry to hear that you're having problems using our app. Can you try switching between Wi-Fi and your mobile data please? Have you tried closing the app down, and re-launching it? ^Anne",2023-05-13,11:30:56,LloydsBank
"@LewisV1998 Hi, I’m John. I’m sorry to read that you’ve been unable to transfer money. Did you receive an error message? If so, can you please either send a screenshot or confirm the exact wording of this? Please feel free to DM us.",2023-05-13,11:01:02,LloydsBank
"@ScouseGoth When you receive your final response letter, this will contain futher info on how to progress further if you're unhappy with the outcome of the complaint. ^James",2023-05-13,09:58:36,LloydsBank
"@MikeDyson20 I'm sorry, Mike. We're unable to arrange callbacks. If you wish to raise the complaint, you'll need to call one of the numbers provided. Take care. ^John",2023-05-13,09:55:35,LloydsBank
"@MikeDyson20 Hi, I’m John. I’m sorry to read this has happened, I can understand how frustrating this must be. If you wish to make a complaint, please either call our Platinum Membership Services team on 0345 850 5300 or contact the AA on 0344 209 0556. Take care.",2023-05-13,09:51:39,LloydsBank
"@ScouseGoth Hi, I’m John. I’m sorry to read that your complaint was voided, I can understand how frustrating this must’ve been. We’re unable to reverse any decision here, but can I just check, how did you raise the complaint? Please feel free to DM us.",2023-05-13,09:24:35,LloydsBank
"@livmeadows95 Glad to hear it, Liv. Sorry for any inconvenience caused. ^Paul",2023-05-13,08:02:55,LloydsBank
@livmeadows95 Can you try logging on via the browser on your phone to try it? Error 1007 can indicate a Virtual Private Network (VPN) is being used. Do you have one on at the moment? ^Laura,2023-05-13,07:18:13,LloydsBank
@livmeadows95 Hi Liv. Thanks for getting in touch. I'm sorry to hear that you're having trouble making a transfer this morning. Have you tried using the desktop site instead? ^Paul https://t.co/QCh3PtycmG,2023-05-13,07:09:48,LloydsBank
"@cazzaboobear Are you using a VPN? If you are, please try with this turned off. ^Will",2023-05-13,07:04:12,LloydsBank
