,Tweets
425,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
426,b'@motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@motorolaindia \n\nTag-  @ramsapra54 @handsomeraaj @rajeshsapra @mintoosapra'
427,b'Moto G30 and Moto G10 Power launched in India.\n#Techinformer #Motorola #MotoG30 #MotoG10Power https://t.co/2YAtQ7l0jG'
428,"b'RT @TheMrPhone: Moto G10 Power with Snapdragon 460 SoC and 6000mAh battery launched in India at Rs 9,999\n\nhttps://t.co/FSkFOaRaHI\n\n#motog10\xe2\x80\xa6'"
429,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
430,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
431,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
432,b'RT @Desimasti786: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n@\xe2\x80\xa6'
433,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
434,"b'@motorolaindia Moto g10 Power-  \xe2\x82\xb9 11,999\nMoto g30 -  \xe2\x82\xb9 13,999\n\n#PowerfulAllRounder #SolidAllRounder #motog10power #motog30  \n@motorolaindia \nJoin\n@AnjuParmar_11 @VimalDarji5 @mysterioussu @Tiwarijyoti2 @Rutik_079'"
435,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
436,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
437,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
438,b'RT @Redtechtamizha: Motorola Moto G10 Power \xe2\x80\x93 Full phone specifications\n\nhttps://t.co/EHggmEqaqZ\n\n@motorolaindia #motog10power'
439,b'RT @vinodsapra76: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30\xe2\x80\xa6'
440,b'@motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@motorolaindia \n\nTag- @cuteushakumari @ramsapra54 @handsomeraaj @rajeshsapra @mintoosapra'
441,b'@motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n@motorolaindia \nJoin\n@prashpatel_\n@Sanjiv_34 \n@khemka_nidhi\n@Dayal_5 \n@vishalokhanna\n@mysterioussu\n@satyapaljain_86 \n@abha_mishra19 \n@AbhishekIPLFeak \n@Smiley_Bharati'
442,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
443,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
444,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
445,"b'MOTOROLA MOTO G10 POWER Launched in India.\nwith Snapdragon 460, HD+ Display, 48+8+2+2MP Camera, 6000mAh Battery, 4GB+64GB Internal Storage.\n#MotoG10Power @Moto #PowerfulAllRounder #Motorola @motorolaindia #motog10power https://t.co/qT89pxElme'"
446,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
447,"b'#MotoG10Power with Fingerprint Scanner | 6.51 inch Max Vision HD+ Display | 48 MP + 8 MP + 2 MP + 2 MP Quad Rear &amp; 8 MP Front Camera | Qualcomm Snapdragon 460 Octa Core Processor || 4GB RAM | 6000 mAh Battery &amp; 4G VoLTE @ just Rs. 9,999/- Only!! https://t.co/aqsyQLIS34'"
448,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
449,"b'Moto G10 Power And Moto G30 Are Launched In India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n\n\xe2\xad\x95 6.5""HD+/6.5"" 90hz RR display\n\xe2\xad\x95 6000mAh/5000mAh \n\xe2\xad\x95 48+8+2+2MP/64+8+2+2MP\n\xe2\xad\x95 8MP/13MP\n\xe2\xad\x95 Android 11/Android 11\n\xe2\xad\x95 IP52/IP52\n\xe2\xad\x95 SD 460/SD 662\n\xe2\xad\x95 NA/NFC\n\n\xf0\x9f\x92\xb0 4GB+64GB \xe2\x82\xb99,999/10,999\n\n#MotoG10Power #MotoG30'"
450,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
451,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
452,b'RT @gadgetstouse: #GTU #NewVideo #MotoG30\n#motog10power\n\nNew video: Moto G30 and G10 Power | Powerful enough? | Unboxing and First Impressi\xe2\x80\xa6'
453,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
454,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
455,b'RT @TechFactsRafee: #motog10power  &amp; #MotoG30 Prices https://t.co/1BiRBgLpXk'
456,b'Motorola Moto G10 Power \xe2\x80\x93 Full phone specifications\n\nhttps://t.co/EHggmEqaqZ\n\n@motorolaindia #motog10power'
457,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
458,"b'#MotoG30 &amp; #motog10power launched in India from Rs 9,999, Check details here.\n\n@motorolaindia #motorolaindia\n\nhttps://t.co/0zWZwZQnuu'"
459,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
460,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
461,"b'@motorolaindia #MoToG10PoWeR MoTo G10 PoWeR ~ \xe2\x82\xb912,990/-\n\n#MoToG30 MoTo G30 ~ \xe2\x82\xb915,990/-\n\n#PoWeRFuLALLRoUNDeR \n#SoLiDALLRoUNDeR \n#GuESsThEPRiCe \n#ASLiALLRoUNDeRs\n#Motog10power\n#MotoG30\n\nJoin..\n@kalpana7867\n@iwasbornhot\n@Godisgreat001\n@s4success2win\n@prashantjm786'"
462,b'RT @TechFactsRafee: #motog10power  &amp; #MotoG30 Prices https://t.co/1BiRBgLpXk'
463,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
464,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
465,"b'RT @naveeeennnn: @motorolaindia My predictions are-\n\xe2\x80\xa2 Moto G10 Power :- 12,999\n\xe2\x80\xa2 Moto G30 :- 14,999\n@krishnarebels @harini_23 @NowpadaSanto\xe2\x80\xa6'"
466,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
467,"b'New job Senior Accounts Executive in Ludhiana, Punjab | 2021 | Salary : \xe2\x82\xb918,000 - \xe2\x82\xb930,000 a month | Apply Now &gt;&gt; https://t.co/eR4O87FYTk\n\n#INDIA #stevejobs #work #jobs4barbers #traveltherapyjobs #hiring #recruitment #motog10power #Chehre'"
468,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
469,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
470,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
471,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
472,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
473,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
474,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
475,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
476,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
477,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
478,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
479,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
480,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
481,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
482,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
483,b'Know about the price of #motog10powerpower &amp; #MotoG30 in this interesting video.\nLink \xf0\x9f\x94\x97 https://t.co/FBZqhvfZGI\n\n#motoG10 #AsliAllRounders #motog10power #MotoG30 #SolidAllRounder https://t.co/8kZeH14uRj'
484,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
485,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
486,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
487,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
488,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
489,b'RT @gadgetstouse: #GTU #NewVideo #MotoG30\n#motog10power\n\nNew video: Moto G30 and G10 Power | Powerful enough? | Unboxing and First Impressi\xe2\x80\xa6'
490,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
491,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
492,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
493,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
494,"b'RT @motorolaindia: Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the\xe2\x80\xa6'"
495,"b'RT @tech2eets: .@motorolaindia launches #motog10power and #MotoG30 in India with quad camera setup, 4 GB RAM and 64 GB internal storage. \nh\xe2\x80\xa6'"
496,"b""RT @motorolaindia: Netizens, it's time to make the most of every situation with the #PowerfulAllRounder. Introducing #motog10power with a 6\xe2\x80\xa6"""
497,"b'.@motorolaindia launches #motog10power and #MotoG30 in India with quad camera setup, 4 GB RAM and 64 GB internal storage. \nhttps://t.co/NPApmyJwTs'"
498,"b'@motorolaindia Perfect price of\n#motog10power is \xe2\x82\xb99,999\n#motog30 is \xe2\x82\xb910,999\n\n@motorolaindia\n\nJOIN @iMRobii'"
499,"b'@motorolaindia has launched #motog10power 48MP Quad Camera at Rs.9999 &amp; #MotoG30 64MP Quad CAMERA at Rs.10,999 . All comes with Think Shield Mobile Security\n\nKyesa laga aapko?'"
500,"b'Well, now you will know what makes the #motog10power truly a #PowerfulAllRounder - all its brilliant features! Save the date as it goes on sale from 16th Mar, 12 PM at just \xe2\x82\xb99,999 on @Flipkart. https://t.co/jbNrcVv5U0 https://t.co/uUkH3SaAeQ'"
501,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
502,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
503,"b'@motorolaindia @motorolaindia \n\nmoto g10 POWER Rs.13,300/-\nmoto g30 Rs. 15,900/-\n\n#motog10power #motog30\n #PowerfulAllRounder  #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n\nJoin friends \n@Deepaadhan3 \n@ImChandana01 \n@Dayal_5 \n@VaishaliMaisur2 \n@mysterioussu\n@DipakKu84762434'"
504,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
505,"b'@motorolaindia My predictions :\nMoto G10 Power -  \xe2\x82\xb912,990/-\nMoto G30 -               \xe2\x82\xb916,990/-\n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest #motog10power #motog30 \n@motorolaindia \nJoin friends\n@johitherthineni\n@Smiley_Bharati\n@Sanjeevareddij\n@johitherthineni'"
506,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
507,"b'Moto G10 Power launched in India \n\n6.5"" HD+ MaxVision display\n1600 x 720 Pixels\nSnapdragon 460 SoC\n8MP | 48MP + 8MP + 2MP + 2MP\n4GB RAM\n64GB storage\n3.5mm audio jack\nRear-mounted FPS\nIP52\n6000mAh battery\n20W TurboPower\nAndroid 11\n4GB+64GB: Rs. 9999\n\n#motog10power #moto'"
508,"b'Moto G30 launched in India \n6.5"" HD+ MaxVision display\n90Hz refresh rate\n1600 x 720 Pixels\nSnapdragon 662\n4GB RAM\n64GB storage\n13MP | 64+8+2+2MP \n3.5mm audio jack\nRear-mounted FPS\nIP52\n5,000 mAh battery\n20W TurboPower\nAndroid 11\n4GB+64GB: Rs. 10,999\n#MotoG30 #motog10power #moto https://t.co/vA6TuDo9kc'"
509,"b'RT @mysmartprice: #MotoG10Power launched in India for Rs 9,999\n\n\xf0\x9f\x94\xb56.5-inch HD+ IPS LCD Display\n\xf0\x9f\x94\xb5Snapdragon 460\n\xf0\x9f\x94\xb548MP+8MP+2MP+2MP\n\xf0\x9f\x94\xb54GB RAM/ 6\xe2\x80\xa6'"
510,"b'Moto G30, Moto G10 Power with quad rear cameras launched\nhttps://t.co/GtbNozBCNQ\n\n#MotoG30 #motog10power @motorolaindia'"
511,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
512,"b'RT @blessedkamal: @motorolaindia #MoToG10PoWeR MoTo G10 PoWeR : \xe2\x82\xb912,990/- \n#MoToG30 MoTo G30 : \xe2\x82\xb915,990/- \n#PoWeRFuLALLRoUNDeR \n#SoLiDALLRoU\xe2\x80\xa6'"
513,b'RT @News18Tech: #MotoG10Power and #MotoG30 launched in India. Check all details in the link given below:\n@motorolaindia\n\nhttps://t.co/cdz68\xe2\x80\xa6'
514,b'#MotoG10Power and #MotoG30 launched in India. Check all details in the link given below:\n@motorolaindia\n\nhttps://t.co/cdz68kvyM6'
515,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
516,b'@motorolaindia I guess the price is\n(1) Motog10power - 9999/-\n(2) Motog30 - 10999/-\xc2\xa0\n#motog10power  #motog30\n@AmanJn_\n@NehaSah50684283'
517,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
518,"b'#MotoG10Power with 6000mAh battery and #MotoG30 with 6.5-inch 90Hz display, 64MP quad rear cameras launched in India starting at Rs. 9999 https://t.co/moVz4Kwkhp'"
519,"b'Motorola Moto G30 and Moto G10 Power launched in India: Price, Specs, and Availability\n\nhttps://t.co/QSQn0VuoKv\n\n#Motorola #Moto #HelloMoto #MotoG30 #MotoG10Power #PowerfulAllRounder #SolidAllRounder https://t.co/nIcplTQRHb'"
520,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
521,b'MOTOROLA new smartphone Moto G10 Power and Moto G30 launched in India...\n\n#motonewphone #motorola #moto #motogseries #motorolag #motorolagseries #motonewlaunch #smartphone #mobile #launch #infotechindi #newdevice #motog10 #motog10power #MotoG30 https://t.co/ljtdt0ty3B'
522,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
523,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
524,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
525,b'Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Power #MotoG30\nHappy to do a review \xf0\x9f\x98\x8e if I got a unit \xf0\x9f\x98\x89\n#DroidAsia #YouTube #TechNews #TeamDroidAsia @motorolaindia https://t.co/fNcx11LGSN'
526,b'For sub 15k segment we don\xe2\x80\x99t want average quad cam out of which two are useless! We\xe2\x80\x99ll be happy two good cameras and a good processor!\n#motog10power'
527,"b""Motorola's #MotoG30 and #motog10power focus on getting the basics right.\n\n- @motorolaindia \n\nhttps://t.co/GLtxV6moRa https://t.co/pUILRbdv8z"""
528,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
529,b'Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Power #MotoG30 https://t.co/MDWQIYk3OQ https://t.co/Lyw4GZF22m'
530,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
531,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
532,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
533,b'RT @TechFactsRafee: #motog10power  &amp; #MotoG30 Prices https://t.co/1BiRBgLpXk'
534,"b'RT @gogiinc: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power #Motorola https://t.co/f4HObRIlf\xe2\x80\xa6'"
535,b'Motorola G10 &amp; G30 launched in India.\n\nAll specs and prices are here.\n\n#Motorola #MotoG30 #MotoG10 #motog10power #PowerfullAllrounder https://t.co/vLDSgMtpyh'
536,"b'@motorolaindia #PowerfulAllRounder  #SolidAllRounder #GuessThePrice  #AsliAllRounders #Contest \n #motog10power in \xe2\x82\xb99,999/- \n #motog30 in \xe2\x82\xb910,999/-\n https://t.co/mIDBXUZtX1 @jayshreemehta83 @o0LavishKumaR17 @toposant55 @damn_o_cracy @rehanak55 @Gajendr86877221 @LuvyaJoshi @blessedkamal @VHetal'"
537,"b'RT @pankajsingh630: @motorolaindia My guess\n\n#motog10power -   \xe2\x82\xb99,999/-\n\n#motoG30   -  \xe2\x82\xb912,999/-\n\n#PowerfulAllRounder \n#SolidAllRounder \n#G\xe2\x80\xa6'"
538,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
539,b'@motorolaindia Moto G10 power =  \xe2\x82\xb9 9990\n\nMoto G30 = \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@motorolaindia\n \n  @mysterymonk86 @amitpednekar85 \n@Sanjiv_34'
540,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
541,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
542,b'RT @Pareek197: @motorolaindia Moto G10 power: \xe2\x82\xb99990\n\nMoto G30: \xe2\x82\xb9 10990\n\n#PowerfulAllRounder  \n#SolidAllRounder\n#motog10power\n#motog30 \n\n@mo\xe2\x80\xa6'
543,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
544,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
545,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
546,"b'@motorolaindia Moto G10 Power - \xe2\x82\xb99,999/-\nMoto G30 - \xe2\x82\xb910,999/-\n#motog10power #motog30 \n\n#PowerfulAllRounder #SolidAllRounder #GuessThePrice #AsliAllRounders #Contest\n@motorolaindia\n\n@designer_pooja @K_MChandra @Deeptij25092577 @Nitish_nix \n@adityaaryan98'"
547,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
548,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
549,"b'RT @motorolaindia: You wanted to explore more. You got it with #motog10power that comes with a 6000 mAh battery, 48MP Quad Camera, ThinkShi\xe2\x80\xa6'"
550,"b'RT @rjvrana: Moto G10 Power and Moto G30 Unboxing and Quick Review - 6000 mAh, 90Hz #MotoG30 #motog10power  #Motorola https://t.co/GiegSYDb\xe2\x80\xa6'"
551,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
552,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
553,"b'@motorolaindia Perfect price of\n#motog10power is \xe2\x82\xb99,999\n#motog30 is \xe2\x82\xb910,999\n\n@motorolaindia @harssh98 @adityawakchaur'"
554,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
555,"b'RT @TrakinTech: Moto G10 Power &amp; Moto G30 Unboxing And First Impressions \xe2\x9a\xa1 90Hz Screen, 6000mAh Battery &amp; More : #MotoG30 #motog10power @mo\xe2\x80\xa6'"
556,b'RT @motorolaindia: Wish to win a #PowerfulAllRounder or a #SolidAllRounder? Just #GuessThePrice of both the #AsliAllRounders. #Contest ends\xe2\x80\xa6'
557,b'RT @stufflistings: Moto G10 Power and Moto G30 launched in India for INR 9999 and INR 10999 (respectively) in India.\n#Motorola #MotoG10Powe\xe2\x80\xa6'
558,b'@mysmartprice After #RedmiNote10 every phone launch looks overpriced \xf0\x9f\x98\x85 BTW @Moto @motorolaindia android updates policy ?? #MotoG30 #motog10power'
